Sample ID,Analyte Name,Reported Conc (Samp),
Comp. Cabeza Columna,Untitled 000,0.361,
Comp. Cola Columna,Untitled 000,0.323,
Barren,Untitled 000,0.259,
Cabeza puntual retorno,Untitled 000,0.365,
Celda # 11-A,Untitled 000,0.059,
Celda # 11-B,Untitled 000,0.052,
Celda # 11-C,Untitled 000,0.051,
Celda #5-9,Untitled 000,0.202,
Celda #(F1+F2),Untitled 000,0.361,
NE Tubo 1,Untitled 000,0.028,
NE Tubo 2,Untitled 000,0.332,
NE Tubo 4,Untitled 000,0.236,
NE Tubo 5,Untitled 000,0.060,
NE Tubo 6,Untitled 000,0.071,
NE Tubo 7,Untitled 000,0.128,
Puntual Noroeste,Untitled 000,0.313,
Barren Patios,Untitled 000,0.260,
Tubo 3,Untitled 000,0.643,
Especial 1,Untitled 000,0.042,
Especial 2,Untitled 000,0.050,
Especial 3,Untitled 000,0.060,
Especial 4,Untitled 000,0.427,
Especial 5,Untitled 000,0.055,
Columna #1,Untitled 000,0.345,
Columna #2,Untitled 000,0.362,
Columna #3,Untitled 000,0.358,
Columna #4,Untitled 000,0.328,
Columna #5,Untitled 000,0.288,
