Analyst,,,,,,
Date Started,5/28/2025 4:03 AM  GMT: 5/28/2025 11:03 AM,,,,,
Worksheet,LC004565-RE_24,,,,,
Comment,,,,,,
Methods,"Au,Au",,,,,
,,,,,,
Method: Au (Flame),,,,,,
,,,,,,
5/28/2025,4:30:20 AM,PATRON,0.8824,,mg/L,1.2
5/28/2025,4:30:32 AM,BLANCO,0.0181,,mg/L,41.5
5/28/2025,4:30:42 AM,REAGENT BLANK,0,,mg/L,43.2
5/28/2025,4:30:56 AM,LC004561-001,0.0577,,mg/L,5.5
5/28/2025,4:31:10 AM,LC004561-003,0.0357,,mg/L,3.4
5/28/2025,4:31:24 AM,LC004561-004,0.041,,mg/L,4
5/28/2025,4:31:52 AM,LC004561-006,0.0429,,mg/L,1.2
5/28/2025,4:32:08 AM,LC004561-007,0.0618,,mg/L,2.2
5/28/2025,4:32:34 AM,LC004561-008,0.2122,,mg/L,1.9
5/28/2025,4:32:46 AM,LC004561-023,0.134,,mg/L,0.7
5/28/2025,4:34:10 AM,LC004561-005,0.9607,,mg/L,0.7
5/28/2025,4:36:26 AM,PATRON,0.8966,,mg/L,2.3
5/28/2025,4:36:36 AM,PATRON,0.9053,,mg/L,2
5/28/2025,4:36:50 AM,BLANCO,-0.0015,,mg/L,>100
5/28/2025,4:37:00 AM,REAGENT BLANK,0,,mg/L,22
,,,,,,
Method: Au AU ALTO (Flame),,,,,,
