Analyst,,,,,,
Date Started,7/12/2025 2:21 PM  GMT: 7/12/2025 9:21 PM,,,,,
Worksheet,LC004931_24,,,,,
Comment,,,,,,
Methods,"Au,Au",,,,,
,,,,,,
Method: Au (Flame),,,,,,
,,,,,,
7/12/2025,2:24:02 PM,PATRON,0.8838,,mg/L,1
7/12/2025,2:24:24 PM,BLANCO,0.023,,mg/L,30
7/12/2025,2:24:34 PM,REAGENT BLANK,0,,mg/L,23.2
7/12/2025,2:24:48 PM,LC004931--001,0.2881,,mg/L,0.6
7/12/2025,2:25:04 PM,LC004931--002,0.0904,,mg/L,3.2
7/12/2025,2:25:16 PM,LC004931--003,OVER,R,mg/L,0
7/12/2025,2:25:28 PM,LC004931--004,OVER,R,mg/L,0
7/12/2025,2:25:44 PM,LC004931--005,0.0022,,mg/L,59.3
7/12/2025,2:25:56 PM,LC004931--006,0.0027,,mg/L,17
7/12/2025,2:26:10 PM,PATRON,0.8755,,mg/L,0.3
7/12/2025,2:27:34 PM,BLANCO,0.0083,,mg/L,89.3
7/12/2025,2:27:44 PM,REAGENT BLANK,0,,mg/L,15.8
7/12/2025,2:30:26 PM,LC004931--007,0.4316,,mg/L,0.3
7/12/2025,2:30:40 PM,PATRON,0.8739,,mg/L,1.6
,,,,,,
Method: Au AU ALTO (Flame),,,,,,
,,,,,,
,,,,,,
7/12/2025,2:33:10 PM,LC004931--003,2.211,,mg/L,0.2
7/12/2025,2:33:22 PM,LC004931--004,2.0056,,mg/L,0.2
