Analyst,,,,,,
Date Started,7/22/2025 2:30 PM  GMT: 7/22/2025 9:30 PM,,,,,
Worksheet,LC005001_24,,,,,
Comment,,,,,,
Methods,"Au,Au",,,,,
,,,,,,
Method: Au (Flame),,,,,,
,,,,,,
7/22/2025,2:44:02 PM,PATRON,0.8886,,mg/L,0.5
7/22/2025,2:44:36 PM,REAGENT BLANK,0,,mg/L,26.8
7/22/2025,2:44:48 PM,LC005001-001,0.1657,,mg/L,1.2
7/22/2025,2:45:00 PM,LC005001-002,0.0011,,mg/L,35.2
7/22/2025,2:45:14 PM,LC005001-003,0.0057,,mg/L,7.2
7/22/2025,2:45:26 PM,LC005001-004,0.4485,,mg/L,0.4
7/22/2025,2:45:54 PM,LC005001-006,0.6515,,mg/L,0.1
7/22/2025,2:46:06 PM,PATRON,0.8923,,mg/L,0.5
7/22/2025,2:46:34 PM,LC005001-008,0.2639,,mg/L,0.3
7/22/2025,2:46:48 PM,LC005001-009,0.1918,,mg/L,0.5
7/22/2025,2:47:02 PM,LC005001-010,0.2622,,mg/L,0.9
7/22/2025,2:47:14 PM,LC005001-011,0.2412,,mg/L,0.5
7/22/2025,2:50:36 PM,LC005001-007,0.2566,,mg/L,0.8
7/22/2025,2:50:48 PM,LC005001-012,0.2107,,mg/L,0.6
7/22/2025,2:51:22 PM,LC005001-005,0.9559,,mg/L,0.8
7/22/2025,2:53:12 PM,PATRON,0.8939,,mg/L,0.9
7/22/2025,2:53:22 PM,PATRON,0.9008,,mg/L,0.2
7/22/2025,2:53:36 PM,BLANCO,0.0069,,mg/L,26.4
7/22/2025,2:53:46 PM,REAGENT BLANK,0,,mg/L,>100
7/22/2025,2:54:38 PM,BLANCO,-0.0047,,mg/L,82.9
,,,,,,
Method: Au AU ALTO (Flame),,,,,,
