Analyst,EVE,,,,,
Date Started,7/28/2025 10:18 AM  GMT: 7/28/2025 5:18 PM,,,,,
Worksheet,LC005042,,,,,
Comment,,,,,,
Methods,Au,,,,,
,,,,,,
Method: Au ACIDO (Flame),,,,,,
,,,,,,
7/28/2025,10:36:30 AM,PATRON,0.8996,,mg/L,0.6
7/28/2025,10:37:20 AM,BLANCO,0.003,,mg/L,>100
7/28/2025,10:38:18 AM,REAGENT BLANK,0,,mg/L,26.7
7/28/2025,10:38:54 AM,LC005042-001,0.4165,,mg/L,0.4
7/28/2025,10:39:10 AM,LC005042-002,0.8527,,mg/L,0.4
7/28/2025,10:39:28 AM,LC005042-003,0.2681,,mg/L,0.1
7/28/2025,10:39:42 AM,LC005042-004,0.2771,,mg/L,0.8
7/28/2025,10:40:02 AM,LC005042-005,-0.0001,,mg/L,>100
7/28/2025,10:40:16 AM,LC005042-006,0.0011,,mg/L,48.7
7/28/2025,10:40:34 AM,PATRON,0.8889,,mg/L,0.5
7/28/2025,10:40:52 AM,LC005042-007,0.228,,mg/L,0.5
7/28/2025,10:41:52 AM,LC005042-008,0.1938,,mg/L,0.5
7/28/2025,10:42:10 AM,LC005042-009,0.0011,,mg/L,33.9
7/28/2025,10:42:36 AM,LC005042-010,0.1624,,mg/L,0.4
7/28/2025,10:42:52 AM,LC005042-011,0.1994,,mg/L,0.4
7/28/2025,10:43:06 AM,LC005042-012,0.4354,,mg/L,0.5
7/28/2025,10:43:24 AM,PATRON,0.8867,,mg/L,0.2
7/28/2025,10:43:56 AM,LC005042-013,0.5371,,mg/L,1.1
7/28/2025,10:44:10 AM,LC005042-014,0.1216,,mg/L,0.5
7/28/2025,10:44:44 AM,LC005042-015,0.4466,,mg/L,0.4
7/28/2025,10:45:12 AM,LC005042-016,0.5882,,mg/L,0
7/28/2025,10:45:50 AM,LC005042-017,0.4443,,mg/L,0.3
7/28/2025,10:46:20 AM,LC005042-018,1.1581,,mg/L,0.4
7/28/2025,10:46:56 AM,PATRON,0.8839,,mg/L,0.3
7/28/2025,10:47:16 AM,LC005042-019,0.1352,,mg/L,0.3
7/28/2025,10:47:32 AM,LC005042-020,0.4269,,mg/L,0.2
7/28/2025,10:47:50 AM,LC005042-021,0.2515,,mg/L,0.9
7/28/2025,10:48:04 AM,LC005042-022,0.5287,,mg/L,0.3
7/28/2025,10:48:24 AM,LC005042-023,0.4431,,mg/L,0.3
7/28/2025,10:48:44 AM,PATRON,0.8878,,mg/L,0.5
7/28/2025,10:49:30 AM,BLANCO,-0.0044,,mg/L,55.5
7/28/2025,10:51:06 AM,REAGENT BLANK,0,,mg/L,16.7
7/28/2025,10:51:06 AM,,,,mg/L,
