Analyst,,,,,,
Date Started,10/2/2025 10:18 AM  GMT: 10/2/2025 5:18 PM,,,,,
Worksheet,LC005473_24,,,,,
Comment,,,,,,
Methods,"Au,Au",,,,,
,,,,,,
Method: Au (Flame),,,,,,
,,,,,,
10/2/2025,10:26:18 AM,PATRON,0.8932,,mg/L,0.5
10/2/2025,10:26:34 AM,BLANCO,0.0131,,mg/L,22.2
10/2/2025,10:26:44 AM,REAGENT BLANK,0,,mg/L,69.1
10/2/2025,10:27:02 AM,LC005473-001,0.0305,,mg/L,4.3
10/2/2025,10:27:14 AM,LC005473-002,0.6042,,mg/L,0.9
10/2/2025,10:27:42 AM,LC005473-004,0.006,,mg/L,20.7
10/2/2025,10:27:56 AM,LC005473-005,0.3669,,mg/L,1
10/2/2025,10:28:10 AM,LC005473-006,0.2145,,mg/L,0.7
10/2/2025,10:29:04 AM,PATRON,0.8822,,mg/L,0.6
10/2/2025,10:29:20 AM,LC005473-007,0.0771,,mg/L,0.5
10/2/2025,10:29:34 AM,LC005473-008,0.2143,,mg/L,0.1
10/2/2025,10:29:48 AM,LC005473-009,0.2162,,mg/L,0.9
10/2/2025,10:30:04 AM,LC005473-010,0.4444,,mg/L,0.6
10/2/2025,10:30:20 AM,PATRON,0.8879,,mg/L,0.8
10/2/2025,10:30:38 AM,BLANCO,0.0162,,mg/L,4
10/2/2025,10:30:54 AM,REAGENT BLANK,0,,mg/L,13.3
10/2/2025,10:31:14 AM,LC005473-003,-0.0008,,mg/L,>100
,,,,,,
Method: Au AU ALTO (Flame),,,,,,
