Sample ID,Analyte Name,Reported Conc (Samp),
Comp. Cabeza Columna,Au 242.80,0.184,
Comp. Cola Columna,Au 242.80,0.033,
Barren,Au 242.80,0.036,
Cabeza puntual retorno,Au 242.80,0.179,
Celda # 11-A,Au 242.80,0.166,
Celda # 11-B,Au 242.80,0.278,
Celda # 11-C,Au 242.80,0.285,
Celda # 6-F2,Au 242.80,0.038,
Celda #5-9,Au 242.80,0.011,
Celda #(F1+F2),Au 242.80,0.160,
NE Tubo 1,Au 242.80,0.135,
NE Tubo 2,Au 242.80,0.102,
NE Tubo 4,Au 242.80,0.217,
NE Tubo 5,Au 242.80,0.211,
NE Tubo 6,Au 242.80,0.099,
NE Tubo 7,Au 242.80,0.300,
Puntual Noroeste,Au 242.80,0.157,
Barren Patios,Au 242.80,0.031,
Tubo 3,Au 242.80,0.148,
Especial 1,Au 242.80,0.054,
Especial 2,Au 242.80,0.031,
Especial 3,Au 242.80,0.024,
Especial 4,Au 242.80,0.020,
Especial 5,Au 242.80,0.018,
