Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Au 242.80,0.171
Comp. Cola Columna,Au 242.80,0.018
Barren,Au 242.80,0.024
Cabeza puntual retorno,Au 242.80,0.172
Celda # 11-A,Au 242.80,0.096
Celda # 11-B,Au 242.80,0.25
Celda # 11-C,Au 242.80,0.249
Celda # 6-F2,Au 242.80,0.034
Celda #5-9,Au 242.80,0.015
Celda #(F1+F2),Au 242.80,0.15
NE Tubo 1,Au 242.80,0.139
NE Tubo 2,Au 242.80,0.104
NE Tubo 4,Au 242.80,0.204
NE Tubo 5,Au 242.80,0.192
NE Tubo 6,Au 242.80,0.085
NE Tubo 7,Au 242.80,0.323
Puntual Noroeste,Au 242.80,0.16
Barren Patios,Au 242.80,0.023
Tubo 3,Au 242.80,0.135
Especial 1,Au 242.80,0.07
Especial 2,Au 242.80,0.031
Especial 3,Au 242.80,0.012
Especial 4,Au 242.80,0.02
Especial 5,Au 242.80,0.015
