"Analista",""
"Fecha de inicio","15/01/2023 04:07 a. m.  GMT: 15/01/2023 10:07 a. m."
"Hoja de trabajo","SA000019_3"
"Comentario",""
"Métodos","Au"

"Método: Au EFAA30 (Llama)"

"PATRÓN 1",0.5000,"","mg/L",6.0,0.0117,-0.0001,0.0118,0.0124,0.0110
"PATRÓN 2",1.0000,"","mg/L",1.0,0.0243,0.0003,0.0245,0.0244,0.0240
"PATRÓN 3",2.0000,"","mg/L",1.5,0.0506,0.0000,0.0498,0.0513,0.0508
"PATRÓN 4",5.0000,"","mg/L",0.6,0.1290,0.0009,0.1281,0.1293,0.1295
"PATRÓN 5",10.0000,"","mg/L",0.5,0.2632,0.0007,0.2616,0.2635,0.2644
"CERO CAL",0.0000,"","mg/L",16.8,0.0015,-0.0003,0.0013,0.0014,0.0018
"Ajuste Pendiente",1.0000,"","mg/L",3.6,0.0239,-0.0004,0.0229,0.0244,0.0244
"PATRON",0.5136,"","mg/L",1.9,0.0121,-0.0009,0.0122,0.0122,0.0118
"BLANCO REACTIVO",0.0000,"","mg/L",14.0,0.0019,-0.0007,0.0021,0.0016,0.0021
"BLANCO",-0.0031,"","mg/L",55.6,-0.0001,-0.0028,-0.0001,-0.0001,0.0000
"SA000019-001",0.1875,"","mg/L",8.2,0.0190,-0.0028,0.0208,0.0183,0.0180
"SA000019-002",0.1832,"","mg/L",1.7,0.0186,-0.0028,0.0189,0.0186,0.0183
"SA000019-003",0.0921,"","mg/L",4.2,0.0091,-0.0023,0.0089,0.0096,0.0089
"SA000019-004",0.0746,"","mg/L",3.6,0.0073,-0.0025,0.0070,0.0075,0.0073
"SA000019-005",0.1061,"","mg/L",2.3,0.0107,-0.0027,0.0105,0.0109,0.0106
"PATRON",0.5020,"","mg/L",2.3,0.0118,-0.0027,0.0115,0.0120,0.0119
"SA000019-006",0.1027,"","mg/L",1.8,0.0103,-0.0026,0.0102,0.0105,0.0103
"SA000019-007",0.0409,"","mg/L",5.7,0.0041,-0.0026,0.0043,0.0039,0.0040
"SA000019-008",0.0633,"","mg/L",2.0,0.0063,-0.0028,0.0062,0.0065,0.0063
"SA000019-009",0.0603,"","mg/L",8.9,0.0060,-0.0022,0.0061,0.0055,0.0065
"SA000019-010",0.1410,"","mg/L",0.8,0.0142,-0.0022,0.0141,0.0143,0.0142
"PATRON",0.5192,"","mg/L",1.2,0.0122,-0.0031,0.0122,0.0120,0.0123
"BLANCO REACTIVO",0.0000,"","mg/L",27.0,0.0022,-0.0009,0.0016,0.0022,0.0029
"BLANCO",-0.0036,"","mg/L",">100",-0.0001,-0.0032,0.0000,-0.0003,0.0001
"SA000019-011",0.0620,"","mg/L",1.1,0.0062,-0.0031,0.0063,0.0062,0.0061
"SA000019-012",0.0606,"","mg/L",3.4,0.0061,-0.0031,0.0061,0.0062,0.0058
"SA000019-013","","","mg/L","","",""
"SA000019-014",0.0598,"","mg/L",3.6,0.0059,-0.0027,0.0060,0.0056,0.0059
"SA000019-015",0.1083,"","mg/L",0.8,0.0109,-0.0030,0.0108,0.0109,0.0110
"CERO CAL",0.0000,"","mg/L",">100",-0.0003,0.0002,-0.0008,0.0001,-0.0001
"PATRÓN 1",0.5000,"","mg/L",2.8,0.0119,-0.0007,0.0121,0.0115,0.0121
"PATRÓN 2",1.0000,"","mg/L",1.3,0.0239,-0.0002,0.0236,0.0239,0.0242
"PATRÓN 3",2.0000,"","mg/L",1.1,0.0491,-0.0002,0.0484,0.0494,0.0494
"PATRÓN 4",5.0000,"","mg/L",1.1,0.1253,0.0003,0.1237,0.1258,0.1263
"PATRÓN 5",10.0000,"","mg/L",0.7,0.2518,0.0002,0.2509,0.2538,0.2507
"SA000019-016",0.1293,"","mg/L",17.0,0.0133,0.0008,0.0158,0.0124,0.0116
"PATRON",0.4903,"","mg/L",4.9,0.0117,0.0001,0.0121,0.0111,0.0119
"SA000019-017",0.0945,"","mg/L",3.7,0.0095,0.0003,0.0092,0.0093,0.0099
"SA000019-018",0.0623,"","mg/L",1.7,0.0064,0.0003,0.0065,0.0062,0.0064
