"Analista",""
"Fecha de inicio","16/01/2023 09:56 p. m.  GMT: 17/01/2023 03:56 a. m."
"Hoja de trabajo","SA000047-RE_3"
"Comentario",""
"Métodos","Au"

"Método: Au EFAA30 (Llama)"

"PATRÓN 1",0.5000,"","mg/L",2.7,0.0106,-0.0004,0.0103,0.0106,0.0108
"PATRÓN 2",1.0000,"","mg/L",1.7,0.0210,-0.0001,0.0211,0.0213,0.0206
"PATRÓN 3",2.0000,"","mg/L",1.1,0.0428,-0.0002,0.0422,0.0431,0.0429
"PATRÓN 4",5.0000,"","mg/L",1.5,0.1115,-0.0003,0.1096,0.1120,0.1129
"PATRÓN 5",10.0000,"","mg/L",0.9,0.2172,-0.0003,0.2152,0.2175,0.2189
"CERO CAL",0.0000,"","mg/L",">100",0.0005,-0.0004,0.0005,0.0000,0.0010
"Ajuste Pendiente",1.0000,"","mg/L",1.0,0.0212,0.0001,0.0213,0.0214,0.0210
"PATRON",0.5016,"","mg/L",2.0,0.0107,0.0001,0.0105,0.0107,0.0109
"BLANCO REACTIVO",0.0000,"","mg/L",33.4,0.0006,0.0001,0.0005,0.0009,0.0006
"BLANCO",0.0036,"","mg/L",">100",0.0001,-0.0010,-0.0004,0.0003,0.0003
"SA000041-028",0.1316,"","mg/L",3.9,0.0120,0.0008,0.0125,0.0121,0.0115
"SA000041-029",0.2319,"","mg/L",2.2,0.0214,-0.0010,0.0219,0.0210,0.0212
"SA000041-030",0.2487,"","mg/L",2.9,0.0229,-0.0008,0.0222,0.0234,0.0232
"SA000041-031",0.9387,"","mg/L",0.9,0.0893,-0.0007,0.0884,0.0897,0.0899
"SA000041-032",0.6898,"","mg/L",0.4,0.0651,-0.0006,0.0653,0.0651,0.0648
"PATRON",0.4934,"","mg/L",6.5,0.0105,-0.0006,0.0098,0.0106,0.0112
"SA000044-023",0.1966,"","mg/L",3.3,0.0181,-0.0002,0.0174,0.0186,0.0182
"PATRON",0.5027,"","mg/L",4.3,0.0107,-0.0008,0.0107,0.0112,0.0103
"BLANCO",-0.0083,"","mg/L",">100",-0.0002,-0.0009,-0.0007,-0.0001,0.0002
"BLANCO REACTIVO",0.0000,"","mg/L",73.7,0.0005,-0.0004,0.0005,0.0008,0.0001
"BLANCO","","","mg/L","","",""
