1,PATRON,,1,1,1,1,1
2,BLANCO,,1,1,1,1,1
3,BLANCO REACTIVO,,1,1,1,1,1
4,SA000030-016,1.904,2,1,50,1,1
5,SA000031-041,0.923,2,1,50,1,1
6,SA000031-042,2.668,2,1,50,1,1
7,SA000031-043,1.744,2,1,50,1,1
8,SA000031-044,0.213,2,1,50,1,1
9,SA000031-046,1.368,2,1,50,1,1
10,SA000031-048,0.594,2,1,50,1,1
11,SA000031-049,0.773,2,1,50,1,1
12,SA000032-004,1.350,2,1,50,1,1
13,SA000032-005,1.225,2,1,50,1,1
14,PATRON,,1,1,1,1,1
15,BLANCO,,1,1,1,1,1
16,BLANCO REACTIVO,,1,1,1,1,1
17,SA000032-006,0.981,2,1,50,1,1
18,SA000032-007,0.729,2,1,50,1,1
19,SA000032-008,0.030,2,1,50,1,1
20,SA000032-009,0.037,2,1,50,1,1
21,SA000032-012,1.659,2,1,50,1,1
22,SA000032-013,3.285,2,1,50,1,1
23,SA000032-015,4.461,2,1,50,1,1
24,SA000032-031,2.762,2,1,50,1,1
25,SA000032-032,2.676,2,1,50,1,1
26,SA000032-033,0.299,2,1,50,1,1
27,PATRON,,1,1,1,1,1
28,BLANCO,,1,1,1,1,1
29,BLANCO REACTIVO,,1,1,1,1,1
30,SA000032-034,0.242,2,1,50,1,1
31,SA000032-035,2.887,2,1,50,1,1
32,SA000032-036,2.937,2,1,50,1,1
33,SA000032-037,0.993,2,1,50,1,1
34,SA000033-006,1.234,2,1,50,1,1
35,SA000033-007,0.889,2,1,50,1,1
36,SA000033-008,0.719,2,1,50,1,1
37,SA000033-009,0.913,2,1,50,1,1
38,SA000033-010,1.878,2,1,50,1,1
39,SA000033-011,1.858,2,1,50,1,1
40,PATRON,,1,1,1,1,1
41,BLANCO,,1,1,1,1,1
42,BLANCO REACTIVO,,1,1,1,1,1
43,SA000034-057,10.249,2,1,50,1,1
44,SA000034-058,6.194,2,1,50,1,1
45,SA000034-059,0.072,2,1,50,1,1
46,SA000034-060,0.084,2,1,50,1,1
47,SA000035-007,1.831,2,1,50,1,1
48,SA000035-008,1.431,2,1,50,1,1
49,SA000035-009,1.063,2,1,50,1,1
50,SA000035-010,1.096,2,1,50,1,1
51,SA000035-011,2.819,2,1,50,1,1
52,SA000035-013,0.209,2,1,50,1,1
53,PATRON,,1,1,1,1,1
54,BLANCO,,1,1,1,1,1
55,BLANCO REACTIVO,,1,1,1,1,1
56,SA000035-014,1.505,2,1,50,1,1
57,PATRON,,1,1,1,1,1
58,BLANCO,,1,1,1,1,1
59,BLANCO REACTIVO,,1,1,1,1,1
