Analista,,,,,,,,,,
Fecha de inicio,22/01/2023 05:32 p. m.  GMT: 22/01/2023 11:32 p. m.,,,,,,,,,
Hoja de trabajo,SA000117-RE_3,,,,,,,,,
Comentario,,,,,,,,,,
Métodos,Au,,,,,,,,,
,,,,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,
,,,,,,,,,,
,PATRON,0.5008,,mg/L,1.1,0.0166,-0.0015,0.0168,0.0164,0.0164
,BLANCO,0.0077,,mg/L,93.6,0.0003,-0.0003,0.0003,0,0.0005
,BLANCO REACTIVO,0,,mg/L,43.1,0.0005,-0.0005,0.0004,0.0003,0.0007
,SA000071-013,0.0969,,mg/L,0.8,0.0137,-0.0019,0.0137,0.0138,0.0136
,SA000072-028,0.0584,,mg/L,1,0.0082,-0.0022,0.0082,0.0083,0.0082
,SA000083-018,0.042,,mg/L,5,0.0059,-0.0018,0.0056,0.0062,0.006
,SA000093-029,0.1002,,mg/L,0.9,0.0142,-0.0021,0.0142,0.014,0.0143
,SA000093-030,0.2662,,mg/L,0.1,0.038,-0.0018,0.038,0.0379,0.0379
,PATRON,0.5108,,mg/L,0.5,0.0169,-0.0024,0.017,0.0169,0.0168
,SA000093-031,0.1534,,mg/L,0.4,0.0218,-0.002,0.0218,0.0218,0.0217
,SA000093-032,0.6011,,mg/L,0.6,0.0869,-0.0017,0.0872,0.0872,0.0862
,SA000097-005,0.1114,,mg/L,1.7,0.0158,-0.0018,0.0155,0.016,0.0158
,SA000097-006,0.2953,,mg/L,0.8,0.0422,-0.002,0.0419,0.042,0.0426
,SA000097-007,0.2767,,mg/L,0.5,0.0395,-0.0019,0.0393,0.0394,0.0397
,PATRON,0.5135,,mg/L,0.8,0.017,-0.0022,0.0171,0.0171,0.0168
,BLANCO,-0.0027,,mg/L,>100,-0.0001,-0.0019,-0.0002,-0.0005,0.0004
,BLANCO REACTIVO,0,,mg/L,42.7,0.0005,-0.0012,0.0005,0.0007,0.0003
,SA000097-008,0.263,,mg/L,0.6,0.0253,-0.002,0.0254,0.0254,0.0251
,SA000097-009,0.2121,,mg/L,0.7,0.0302,-0.002,0.0301,0.03,0.0304
,SA000097-010,0.2575,,mg/L,1.2,0.0367,-0.0019,0.0372,0.0364,0.0365
,SA000097-013,0.3357,,mg/L,0.6,0.048,-0.0017,0.0483,0.0481,0.0477
,SA000099-004,0.144,,mg/L,1,0.0204,-0.002,0.0203,0.0203,0.0207
,PATRON,0.5123,,mg/L,1.3,0.0169,-0.0021,0.0172,0.0167,0.0169
,SA000099-005,0.1129,,mg/L,1.2,0.016,-0.0018,0.016,0.0162,0.0158
