Analista,,,,,,,,,,
Fecha de inicio,25/01/2023 11:23 a. m.  GMT: 25/01/2023 05:23 p. m.,,,,,,,,,
Hoja de trabajo,SA000153-RE_3,,,,,,,,,
Comentario,,,,,,,,,,
Métodos,Au,,,,,,,,,
,,,,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,
,,,,,,,,,,
,PATRON,0.5021,,mg/L,0.3,0.0164,-0.0001,0.0164,0.0164,0.0165
,BLANCO,0.006,,mg/L,51.2,0.0002,-0.0002,0.0001,0.0002,0.0003
,BLANCO REACTIVO,0,,mg/L,>100,-0.0001,-0.0003,-0.0006,-0.0002,0.0004
,SA000120-001,0.037,,mg/L,3,0.0052,0.0006,0.0054,0.0051,0.0053
,SA000120-002,0.1124,,mg/L,1.1,0.0157,0.0003,0.0159,0.0158,0.0156
,SA000120-003,0.093,,mg/L,3.9,0.0131,0.0004,0.0134,0.0133,0.0125
,SA000120-005,0.0987,,mg/L,2,0.0139,0.0002,0.014,0.0136,0.0141
,SA000120-006,0.1965,,mg/L,2.5,0.0274,0.0002,0.0267,0.0273,0.0281
,PATRON,0.4999,,mg/L,1.7,0.0163,-0.0003,0.016,0.0166,0.0164
,SA000120-007,0.0193,,mg/L,2.9,0.0027,0.0004,0.0026,0.0027,0.0028
,SA000139-017,0.1624,,mg/L,1.9,0.0227,0.0003,0.0222,0.023,0.0228
,SA000139-018,0.36,,mg/L,1.4,0.0495,0.0004,0.0492,0.0502,0.0489
,SA000139-019,0.1427,,mg/L,0.8,0.02,0.0001,0.02,0.0198,0.0201
,SA000139-020,0.8323,,mg/L,0.2,0.1115,0.0008,0.1113,0.1115,0.1117
,PATRON,0.4939,,mg/L,2.6,0.0161,0,0.0157,0.0165,0.0162
,BLANCO,-0.0071,,mg/L,>100,-0.0002,0,0.0002,-0.0003,-0.0006
,BLANCO REACTIVO,0,,mg/L,>100,-0.0001,-0.0004,-0.0006,0.0001,0.0001
,SA000139-021,0.15,,mg/L,1.9,0.021,0.0004,0.0213,0.0211,0.0205
,SA000139-022,0.4053,,mg/L,1,0.0555,-0.0002,0.0549,0.0558,0.0558
,SA000139-023,0.0826,,mg/L,0.6,0.0116,0.0001,0.0116,0.0117,0.0116
,PATRON,0.4975,,mg/L,1.5,0.0163,-0.0003,0.0163,0.0165,0.016
,BLANCO,-0.0081,,mg/L,37.9,-0.0003,-0.0001,-0.0004,-0.0002,-0.0002
,BLANCO REACTIVO,0,,mg/L,>100,0,-0.0006,0.0001,0.0003,-0.0003
