Analista,JCAN,,,,,,,,,,
Fecha de inicio,27/01/2023 11:00 p. m.  GMT: 28/01/2023 05:00 a. m.,,,,,,,,,,
Hoja de trabajo,SA000165_3,,,,,,,,,,
Comentario,,,,,,,,,,,
Métodos,Au,,,,,,,,,,
,,,,,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,,
,,,,,,,,,,,
,CERO CAL,0,,mg/L,73.9,-0.0006,0.0003,-0.001,-0.0007,-0.0001,
,PATRÓN 1,0.5,,mg/L,2.3,0.0145,0.0001,0.0148,0.0142,0.0144,
,PATRÓN 2,1,,mg/L,2.7,0.0295,0.0002,0.0294,0.0303,0.0287,
,PATRÓN 3,2,,mg/L,0.5,0.0599,0.0003,0.06,0.0602,0.0596,
,PATRÓN 4,5,,mg/L,0.3,0.1485,0.0005,0.148,0.1487,0.1487,
,PATRÓN 5,10,,mg/L,0.9,0.2873,0.0008,0.2845,0.2878,0.2895,
,PATRON,0.5123,,mg/L,5.1,0.015,0.0003,0.0158,0.0149,0.0142,
,BLANCO REACTIVO,0,,mg/L,>100,0.0001,0.0011,0.0004,-0.0003,0.0002,
,BLANCO,0.0022,,mg/L,>100,0.0001,0.0008,-0.0003,0.0002,0.0003,
,BLANCO REACTIVO,0,,mg/L,>100,-0.0003,0.0013,-0.0002,0.0001,-0.0009,
,SA000165-001,0.2811,,mg/L,2.2,0.0356,0.001,0.0364,0.0352,0.035,
,SA000165-002,0.2798,,mg/L,1.2,0.0354,0.0015,0.035,0.0353,0.0358,
,SA000165-003,0.2818,,mg/L,1.1,0.0356,0.0011,0.0358,0.0358,0.0351,11.41040656
,SA000165-004,0.3159,,mg/L,1.5,0.04,0.0012,0.0405,0.0402,0.0394,
,SA000165-005,0.0099,,mg/L,52,0.0012,0.0013,0.0015,0.0017,0.0005,
,PATRON,0.5063,,mg/L,0.6,0.0148,0.0011,0.0147,0.0149,0.0148,
,SA000165-006,0.0102,,mg/L,7.7,0.0013,0.0015,0.0012,0.0014,0.0012,
,SA000165-007,0.3554,,mg/L,0.5,0.0452,0.0017,0.0454,0.0451,0.045,
,SA000165-008,0.3718,,mg/L,0.4,0.0473,0.0014,0.0472,0.0471,0.0475,
,SA000165-009,0.4378,,mg/L,0.1,0.0558,0.0012,0.0558,0.0557,0.0558,7.750576353
,SA000165-010,0.4731,,mg/L,1.2,0.0604,0.0013,0.0601,0.0612,0.0598,
,PATRON,0.4968,,mg/L,1.3,0.0145,0.0011,0.0146,0.0146,0.0143,
,BLANCO REACTIVO,0,,mg/L,65.1,0.0004,0.001,0.0006,0.0001,0.0006,
,BLANCO,-0.0006,,mg/L,>100,0,0.0008,-0.0001,-0.0005,0.0005,
,BLANCO REACTIVO,0,,mg/L,97.3,0.0005,0.0013,0.0004,0,0.0009,
,SA000165-011,0.1219,,mg/L,1.1,0.0153,0.0009,0.0152,0.0154,0.0155,
,SA000165-012,0.3115,,mg/L,0.2,0.0395,0.001,0.0394,0.0395,0.0396,
,SA000165-013,0.1565,,mg/L,0.3,0.0197,0.001,0.0196,0.0197,0.0197,
,SA000165-014,0.1964,,mg/L,1.3,0.0248,0.001,0.0248,0.0245,0.0251,
,SA000165-015,0.1627,,mg/L,2.3,0.0204,0.0011,0.0199,0.0205,0.0208,
,CERO CAL,0,,mg/L,9.5,0.001,-0.0001,0.001,0.0011,0.001,
,PATRÓN 1,0.5,,mg/L,2.5,0.0139,-0.0004,0.0142,0.0135,0.014,
,PATRÓN 2,1,,mg/L,2.9,0.0285,-0.0002,0.0276,0.0287,0.0292,
,PATRÓN 3,2,,mg/L,1,0.0584,-0.0003,0.0578,0.0585,0.059,
,PATRÓN 4,5,,mg/L,0.9,0.1463,-0.0002,0.1453,0.1477,0.1458,
,PATRÓN 5,10,,mg/L,0.2,0.2848,0.0002,0.2844,0.2854,0.2846,
,PATRON,0.508,,mg/L,4,0.0143,-0.0005,0.0141,0.0149,0.0138,
,SA000165-016,0.1443,,mg/L,2.6,0.0175,-0.0001,0.018,0.0173,0.0172,
,SA000165-017,0.0394,,mg/L,16.8,0.0047,0.0001,0.0051,0.0053,0.0038,
,SA000165-018,0.2839,,mg/L,2.3,0.0347,0.0001,0.0355,0.0339,0.0347,
,SA000165-019,0.6222,,mg/L,1.1,0.0776,0.0003,0.0786,0.0771,0.0772,
,SA000165-020,0.3511,,mg/L,0.8,0.0432,0,0.0433,0.0435,0.0428,
,PATRON,0.5172,,mg/L,7,0.0145,-0.0004,0.0144,0.0156,0.0136,
,BLANCO,-0.0006,,mg/L,>100,0,0.0002,0.0007,-0.0004,-0.0003,
,BLANCO REACTIVO,0,,mg/L,46.8,0.0007,0.0003,0.0006,0.0011,0.0004,
,SA000165-021,0.5173,,mg/L,0.4,0.0643,-0.0006,0.0646,0.0641,0.0641,
,SA000165-022,0.4074,,mg/L,1,0.0502,-0.0006,0.0507,0.0498,0.0501,
,SA000165-023,0.923,,mg/L,0.6,0.1167,-0.0004,0.1164,0.1162,0.1175,
,SA000165-024,0.5292,,mg/L,0.5,0.0657,-0.0006,0.0657,0.0655,0.0661,
,SA000165-025,0.1582,,mg/L,2.1,0.0192,-0.0008,0.0195,0.0192,0.0188,
,PATRON,0.522,,mg/L,0.1,0.0147,-0.0012,0.0147,0.0147,0.0147,
,SA000165-026,0.3075,,mg/L,2.3,0.0378,-0.0005,0.0381,0.0385,0.0369,
,SA000165-027,0.2096,,mg/L,1,0.0255,-0.0007,0.0258,0.0252,0.0254,
,SA000165-028,1.015,,mg/L,1.1,0.1282,-0.0002,0.1269,0.1282,0.1296,
,SA000165-029,0.7565,,mg/L,0.9,0.0948,-0.0006,0.0946,0.0957,0.094,
,SA000165-030,0.5766,,mg/L,0.4,0.0718,-0.0005,0.0714,0.072,0.0719,
,PATRON,0.5181,,mg/L,3.4,0.0146,-0.0008,0.0151,0.0142,0.0144,
,BLANCO,-0.0012,,mg/L,>100,0,-0.0004,0.0004,-0.0006,0.0001,
,BLANCO REACTIVO,0,,mg/L,46.9,0.0008,0.0005,0.0005,0.0007,0.0013,
,SA000165-031,0.432,,mg/L,0.4,0.0534,-0.0003,0.0532,0.0533,0.0536,
,SA000165-032,0.0679,,mg/L,6.5,0.0082,-0.0005,0.0081,0.0077,0.0087,
,PATRON,0.5233,,mg/L,2.3,0.0147,-0.0011,0.0143,0.0149,0.0149,
