Analista,JCAN,,,,,,,,,,
Fecha de inicio,09/02/2023 12:02 p. m.  GMT: 09/02/2023 06:02 p. m.,,,,,,,,,,
Hoja de trabajo,SA000313-RE_3,,,,,,,,,,
Comentario,,,,,,,,,,,
Métodos,Au,,,,,,,,,,
,,,,,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,,
,,,,,,,,,,,
,PATRON,0.5192,,mg/L,4.2,0.0145,-0.0001,0.0152,0.0142,0.0142,
,BLANCO,0.0034,,mg/L,>100,0.0001,0.0002,0.0002,-0.0001,0.0001,
,BLANCO REACTIVO,0,,mg/L,94.1,0.0002,-0.0003,0.0002,0,0.0004,
,SA000283-025,0.4303,,mg/L,0.4,0.0428,-0.0001,0.0429,0.043,0.0427,
,SA000285-013,0.5431,,mg/L,0.3,0.0672,-0.0001,0.0672,0.0673,0.067,
,SA000288-006,0.1289,,mg/L,0.4,0.0155,-0.0002,0.0156,0.0155,0.0154,
,SA000288-007,0.2165,,mg/L,0.7,0.0262,-0.0001,0.0262,0.026,0.0264,
,SA000288-008,0.1508,,mg/L,1.9,0.0181,-0.0003,0.0183,0.0178,0.0184,
,PATRON,0.4921,,mg/L,0.6,0.0138,-0.0003,0.0137,0.0138,0.0138,
,SA000288-009,0.9731,,mg/L,0.5,0.1097,0,0.1091,0.1099,0.1102,
,SA000288-010,0.152,,mg/L,0.6,0.0183,-0.0001,0.0183,0.0182,0.0184,
,SA000288-011,0.109,,mg/L,2,0.0131,-0.0002,0.0129,0.0134,0.013,
,SA000288-012,0.1235,,mg/L,0.5,0.0149,0.0001,0.0148,0.0148,0.0149,
,SA000291-011,0.0762,,mg/L,2.2,0.0091,-0.0001,0.009,0.0093,0.009,
,PATRON,0.4972,,mg/L,2.5,0.0139,-0.0005,0.0139,0.0136,0.0143,
,BLANCO,-0.0149,,mg/L,23.2,-0.0004,-0.0003,-0.0005,-0.0003,-0.0004,
,BLANCO REACTIVO,0,,mg/L,>100,-0.0002,-0.0004,-0.0001,-0.0008,0.0002,
,SA000291-015,0.1044,,mg/L,0.5,0.0125,0.0004,0.0125,0.0126,0.0125,
,SA000291-016,0.1613,,mg/L,1.4,0.0194,0.0004,0.0196,0.0196,0.0191,
,SA000291-019,0.0513,,mg/L,1.6,0.0061,0.0003,0.006,0.0062,0.0061,
,SA000291-020,0.0507,,mg/L,2.6,0.0061,0.0005,0.0059,0.0061,0.0062,
,SA000291-021,0.3025,,mg/L,0.6,0.0369,0.0005,0.0367,0.0371,0.0368,
,PATRON,0.4951,,mg/L,0.8,0.0139,0.0003,0.0137,0.014,0.0139,
,SA000291-023,0.3564,,mg/L,0.9,0.0436,0.0004,0.0434,0.0433,0.044,
,SA000291-024,0.2056,,mg/L,0.9,0.0249,0.0004,0.025,0.0246,0.025,
,SA000291-028,0.862,,mg/L,0.2,0.1083,0.0007,0.1082,0.1081,0.1086,
,SA000291-029,1.484,,mg/L,0.3,0.1882,0.0008,0.1887,0.1878,0.188,
,SA000291-030,0.3207,,mg/L,0.4,0.0392,0.0004,0.0393,0.0393,0.039,12.03305785
,PATRON,0.5226,,mg/L,3.5,0.0148,0.0001,0.0154,0.0146,0.0144,
,BLANCO,-0.0045,,mg/L,80.6,-0.0001,-0.0007,-0.0002,-0.0001,-0.0001,
,BLANCO REACTIVO,0,,mg/L,9.6,0.0004,0,0.0004,0.0004,0.0003,
,SA000291-031,0.2843,,mg/L,1.6,0.0347,-0.0002,0.0354,0.0345,0.0343,
,SA000292-014,0.251,,mg/L,0.7,0.0306,-0.0002,0.0307,0.0304,0.0308,
,SA000292-015,0.1973,,mg/L,1,0.024,-0.0002,0.024,0.0243,0.0238,
,SA000292-016,0.1987,,mg/L,0.6,0.0242,0,0.0242,0.0241,0.0243,
,SA000292-017,0.9715,,mg/L,0.4,0.1083,0.0001,0.108,0.1088,0.1081,
,PATRON,0.5022,,mg/L,1.1,0.0142,-0.0006,0.0144,0.0141,0.0141,
,SA000292-018,0.1592,,mg/L,1.1,0.0193,-0.0001,0.0195,0.0191,0.0193,
,SA000292-019,0.1183,,mg/L,0.5,0.0144,-0.0002,0.0143,0.0143,0.0144,
,SA000292-020,0.2508,,mg/L,1,0.0306,0,0.031,0.0304,0.0306,
,SA000293-008,0.3336,,mg/L,0.7,0.0408,0.0001,0.0405,0.041,0.0409,
,SA000294-029,0.0694,,mg/L,3.4,0.0084,-0.0003,0.0087,0.0084,0.0081,
,PATRON,0.4865,,mg/L,1.5,0.0138,-0.0006,0.0139,0.0135,0.0138,
,BLANCO,0.0104,,mg/L,81.3,0.0003,-0.0006,0.0005,0.0003,0,
,BLANCO REACTIVO,0,,mg/L,17.4,0.0006,-0.0004,0.0007,0.0005,0.0006,
,SA000294-030,0.0498,,mg/L,4,0.006,-0.0008,0.0063,0.0058,0.006,
,SA000294-031,0.0287,,mg/L,7.3,0.0035,-0.0005,0.0038,0.0033,0.0033,
,SA000294-032,0.6417,,mg/L,0.3,0.0719,-0.0003,0.072,0.072,0.0717,
,PATRON,0.4955,,mg/L,1.8,0.014,-0.0009,0.0141,0.0142,0.0137,
