Analista,,,,,,,,,,
Fecha de inicio,12/02/2023 06:16 p. m.  GMT: 13/02/2023 12:16 a. m.,,,,,,,,,
Hoja de trabajo,SA000344_3,,,,,,,,,
Comentario,,,,,,,,,,
Métodos,Au,,,,,,,,,
,,,,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,
,,,,,,,,,,
,PATRON,0.5033,,mg/L,2.7,0.0153,-0.0017,0.0158,0.015,0.0152
,BLANCO,0.0004,,mg/L,>100,0,-0.0002,-0.0001,0.0001,0
,BLANCO REACTIVO,0,,mg/L,>100,0.0001,-0.001,-0.0001,0.0002,0.0001
,SA000344-001,0.1948,,mg/L,2.7,0.0257,-0.0026,0.0251,0.0255,0.0264
,SA000344-002,0.1652,,mg/L,1.1,0.0218,-0.0029,0.0217,0.0216,0.022
,SA000344-003,0.2023,,mg/L,1.1,0.0266,-0.0028,0.0263,0.0269,0.0266
,SA000344-005,0.0068,,mg/L,6.8,0.0009,-0.003,0.0009,0.0009,0.0008
,SA000344-006,0.114,,mg/L,3.9,0.0148,-0.0026,0.0153,0.015,0.0142
,PATRON,0.512,,mg/L,0.1,0.0156,-0.003,0.0156,0.0156,0.0156
,PATRON,0.5155,,mg/L,1.9,0.0157,-0.0032,0.0158,0.0154,0.016
,BLANCO,0.0045,,mg/L,>100,0.0001,-0.0022,0.0001,0.0003,-0.0001
,BLANCO REACTIVO,0,,mg/L,30,0.0005,-0.0017,0.0003,0.0006,0.0004
